Group,Transformation,Formula,mf
AminoAcid,Transamination (-O),NH4,2.039459
AminoAcid,Adenosine-5'-phosphosulfate,C10H14N5O10PS,427.019905
AminoAcid,Arginine Conjugation (-OH),C6H13N4O2,156.10111
AminoAcid,Cysteine Conjugation 1 (-H),C3H6NO2S,119.0041
AminoAcid,Cysteine Conjugation 2 ,C3H7NO2S,121.01975
AminoAcid,Glutamine Conjugation (-OH),C5H9N2O3,128.05858
AminoAcid,Glycine Conjugation (-OH),C2H4NO2,57.02146
Sugar,C6H10O5,C6H10O5,162.0528236
Sugar,C6H10O6,C6H10O6,178.0477382
Sugar,Disaccharide (-H2O),C12H20O11,340.1005618
Sugar,D-Ribose (-H2O) (ribosylation),C5H8O4,132.0422589
Sugar,Erythrose (-H2O),C4H8O4,102.031695
Sugar,Glucose-N-Phosphate (-H2O),C6H11O8P,242.0191559
Sugar,Glucoside Conjugation (-H),C6H11O5,162.05282
Sugar,Glucuronic Acid (-H2O),C6H8O6,176.0320881
Sugar,Glucuronide Conjugation (-H),C6H9O6,176.03209
Sugar,Glyoxylate (-H2O),C2O2,55.98982928
Sugar,Monosaccharide (-H2O),C6H10O5,162.0528236
Sugar,Trisaccharide (-H2O),C18H30O15,486.1584707
Abiotic,Acetone (-H),C3H5O,57.03403983
Abiotic,Adenylate (-H2O),C10H12N5O6P,329.0525217
Abiotic,Biotinyl (-H),C10H15N2O3S,243.0803393
Abiotic,Biotinyl (-H2O),C10H14N2O2S,226.0775996
Abiotic,Acetotacetate (-H2O),C4H4O2,84.02112943
Abiotic,Isoprene addition (-H),C5H7,67.05477526
Abiotic,Acetylation (-H2O),C2H2O,42.01056471
Abiotic,Acetylation (-H),C2H3O2,59.01330439
Abiotic,CHO2,CHO2,44.99765432
Abiotic,C2H2,C2H2,26.01565007
Abiotic,Carboxylation,CO2,43.98982928
Abiotic,Condensation/dehydration,H2O,18.01056471
Abiotic,Acetylation (-OH),C2H3O,42.01056
Abiotic,Carbon/dehydrogenation,C13,1.00335
Abiotic,Dehydration ,H2O,18.01056
Abiotic,Desaturation ,H2,2.01565
Abiotic,Ethyl addition (-H2O),C2H4,28.03130015
Abiotic,Formic Acid (-H2O),CO,27.99491464
Abiotic,GSH Conjugation (on Bromine) (-Br),C10H16N3O6S,227.15764
Abiotic,GSH Conjugation (on Chlorine) (-Cl),C10H16N3O6S,271.10713
Abiotic,GSH Conjugation (on Fluorine) (-F),C10H16N3O6S,287.07758
Abiotic,GSH Conjugation 1 ,C10H15N3O6S,305.06816
Abiotic,GSH Conjugation 2 ,C10H17N3O6S,307.08381
Abiotic,Hydration ,H2O,18.01056
Abiotic,Hydrogenation/dehydrogenation,H2,2.015650074
Abiotic,Hydroxylation (-H),O,15.99491464
Abiotic,Methanol (-H2O),CH2,14.01565007
Abiotic,Methylation (-H),CH3,14.01565
Abiotic,Nitro Reduction (-O2),H2,29.97418
Abiotic,Oxidation ,O,15.99491
Abiotic,Oxidative Deamination to Alcohol (-H2N),HO,0.98402
Abiotic,Oxidative Deamination to Ketone (-H3N),O,1.03163
Abiotic,Oxidative Debromination (-Br),HO,61.9156
Abiotic,Oxidative Dechlorination (-Cl),HO,17.96611
Abiotic,Oxidative Defluorination (-F),HO,1.99566
Abiotic,Reduction ,H2,2.01565
Abiotic,Reductive Debromination (-Br),H,77.91051
Abiotic,Reductive Dechlorination (-Cl),H,33.96103
Abiotic,Reductive Defluorination (-F),H,17.99058
Abiotic,sulfate (-H2O),SO3,79.95681572
Abiotic,Inorganic Phosphate,P,30.9737634
Abiotic,ketol group (-H2O),C2H2O,42.01056471
Abiotic,Phosphate,HPO3,79.96633236
Abiotic,Primary amine,NH2,16.01872408
Abiotic,Pyrophosphate,PP,61.9475268
Abiotic,Secondary amine,NH,15.01089905
Abiotic,Sulfation (-H),HO3S,79.95681
Abiotic,Tertiary amine,N,14.00307401
Other,Co-enzyme A (-H),C21H34N7O16P3S,765.0995656
Other,Co-enzyme A (-H2O),C21H33N7O15P3S,748.0968259
Other,Carbamoyl P transfer (-H2PO4),CH2ON,44.01363872
Other,Pyridoxal phosphate (-H2O),C8H8NO5P,229.0140109
Other,Malonyl group (-H2O),C3H2O3,86.00039399
Other,Palmitoylation (-H2O),C16H30O,238.2296658
Other,Urea addition (-H),CH3N2O,59.02453777
Other,Diphosphate,H3O6P2,160.9404898
Other,Alliin ,C6H11NO3S,177.045966
Other,Indolylmethyl glucosinolate,C16H20N2O9S2,448.061027
Other,O-Acetylserine,C5H9NO4,147.053159
Other,Ornitine Conjugation (-OH),C5H11N2O2,114.07931
Other,Palmitoyl Conjugation (-H),C16H31O,238.22967
Other,Phytochelatin,C10H16N3O6S-,306.075984
Other,Stearyl Conjugation (-H),C18H35O,266.26097
Other,Taurine Conjugation (-OH),C2H6NO3S,107.0041
Other,Thiourea to Urea (-S),O,15.97716
